key,value
building,yes
building,detached
building,house
building,apartments
amenity,place_of_worship
shop,seafood
amenity,fast_food
amenity,veterinary
building,residential
leisure,swimming_pool
tourism,hotel
amenity,clinic
building,commercial
leisure,pitch
shop,storage_rental
 ,school
building,roof
shop,hearing_aids
building,shed
shop,boat
building,service
amenity,fuel
amenity,bank
building,retail
building,garage
amenity,cinema
military,office
leisure,sports_centre
amenity,restaurant
amenity,pharmacy
office,company
office,estate_agent
shop,supermarket
leisure,playground
building,church
man_made,storage_tank
amenity,bar
building,school
amenity,library
amenity,ice_cream
shop,convenience
amenity,townhall
amenity,car_wash
building,public
amenity,police
amenity,post_office
amenity,courthouse
building,cafeteria
shop,sports
amenity,toilets
amenity,dentist
amenity,shelter
shop,doityourself
shop,car_repair
leisure,garden
amenity,conference_centre
amenity,cafe
building,college
shop,tobacco
amenity,hospital
shop,mall
amenity,marketplace
building,terrace
building,semidetached_house
amenity,university
leisure,club
shop,outdoor
leisure,social_club
tourism,guest_house
amenity,doctors
tourism,museum
amenity,fire_station
shop,car_parts
sport,golf
amenity,social_facility
shop,optician
amenity,coast_guard
leisure,stadium
leisure,water_park
building,industrial
shop,stationery
office,government
shop,alcohol
shop,dry_cleaning
shop,chemist
shop,books
amenity,pub
shop,yes
shop,candles
shop,laundry
tourism,motel
office,yes
shop,furniture
amenity,animal_shelter
shop,tyres
shop,wholesale
leisure,marina
tourism,picnic_site
shop,department_store
leisure,picnic_table
building,university
leisure,track
building,stadium
leisure,common
amenity,gym
amenity,concession
leisure,bleachers
shop,weapons
building,hospital
tourism,zoo
leisure,bowling_alley
shop,houseware
office,insurance
leisure,golf_course
tourism,attraction
leisure,dog_park
building,grandstand
leisure,horse_riding
amenity,bicycle_parking
shop,craft
man_made,pier
man_made,storage_dome
shop,variety_store
man_made,tower
shop,clothes
shop,interior_decoration
shop,cosmetics
tourism,information
shop,music
building,gymnasium
amenity,community_centre
building,hangar
man_made,water_tower
