statefips,tractfips,countyfips,dctype,feature,fmax,fmin,tstart,tmax,x,y,geometry,s2,svi,url
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9w1ubyph,0.394,0.068,t_1,t_3,-83.9550745,38.79357300001023,POINT (-83.95507449999999 38.79357300001023),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951800,39015,building,urn:ufokn:id:feature:dnuk9t04v7ff,0.361,0.021,t_2,t_5,-83.95729050000092,38.787723999995535,POINT (-83.95729050000092 38.78772399999553),9818245606013927424,0.39,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818245606013927424
39,39015951800,39015,building,urn:ufokn:id:feature:dnuk9t17hx8f,0.045,0.012,t_4,t_5,-83.9556085,38.787787000008976,POINT (-83.9556085 38.78778700000898),9818245606013927424,0.39,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818245606013927424
39,39015951800,39015,building,urn:ufokn:id:feature:dnuk9t9d6neb,2.359,1.01,t_1,t_5,-83.95536851196653,38.79039917439674,POINT (-83.95536851196653 38.79039917439674),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9mpm29fn,1.35,0.001,t_1,t_5,-83.95852505931715,38.78814321962969,POINT (-83.95852505931715 38.78814321962969),9818245606013927424,0.39,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818245606013927424
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9t6dugy0,1.923,0.574,t_1,t_5,-83.95387419480014,38.789097087708456,POINT (-83.95387419480014 38.78909708770846),9818245606013927424,0.39,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818245606013927424
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9t6344g8,2.359,1.01,t_1,t_5,-83.95433909808214,38.78879120004911,POINT (-83.95433909808214 38.78879120004911),9818245606013927424,0.39,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818245606013927424
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9tfpsk4u,1.215,0.014,t_1,t_5,-83.95458683215514,38.79266102069041,POINT (-83.95458683215514 38.79266102069041),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9w1cpkuw,1.142,0.034,t_1,t_5,-83.95479909865787,38.79292280179624,POINT (-83.95479909865787 38.79292280179624),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9w1bsrqy,2.141,0.792,t_1,t_5,-83.95492450000003,38.79285050000678,POINT (-83.95492450000003 38.79285050000678),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9w0fx0jr,0.364,0.024,t_2,t_5,-83.95618200001775,38.79315500000348,POINT (-83.95618200001775 38.79315500000348),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9w0f6hvu,0.865,0.119,t_1,t_5,-83.956396,38.793137000016486,POINT (-83.956396 38.79313700001649),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9mzztmzf,1.848,0.499,t_1,t_5,-83.957627,38.79267000000565,POINT (-83.957627 38.79267000000565),9818246258848956416,0.40,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818246258848956416
39,39015951900,39015,building,urn:ufokn:id:feature:dnuk9mke1e63,0.459,0.119,t_2,t_5,-83.96225833173031,38.789137372443776,POINT (-83.96225833173031 38.78913737244378),9818245606013927424,0.39,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9818245606013927424
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhx6bf1e,0.138,0.138,t_1,t_14,-82.16774374492232,41.289851082919355,POINT (-82.16774374492232 41.28985108291936),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhpstckp,0.291,0.291,t_1,t_6,-82.16718249999987,41.28740150000608,POINT (-82.16718249999987 41.28740150000608),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdf508teg2,0.2,0.2,t_1,t_6,-82.1768071000007,41.28123390000249,POINT (-82.1768071000007 41.28123390000249),9813520489153298432,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520489153298432
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhpxdf0s,0.191,0.191,t_1,t_8,-82.16731600000011,41.28791999999872,POINT (-82.16731600000011 41.28791999999872),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhr2kspk,0.263,0.263,t_1,t_13,-82.16757500000024,41.288059500006035,POINT (-82.16757500000024 41.28805950000604),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdf5h5xg0y,0.229,0.229,t_1,t_3,-82.171907500005,41.28174600000121,POINT (-82.17190750000501 41.28174600000121),9813520489153298432,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520489153298432
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdf52wd5dp,0.142,0.142,t_1,t_9,-82.17695900000047,41.283637000013556,POINT (-82.17695900000047 41.28363700001356),9813520489153298432,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520489153298432
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhnc9ese,0.585,0.585,t_1,t_17,-82.1683942471988,41.286897938949544,POINT (-82.1683942471988 41.28689793894954),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhxm8230,0.619,0.619,t_1,t_11,-82.16776592917456,41.29031319375462,POINT (-82.16776592917456 41.29031319375462),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhx5y6eu,0.317,0.317,t_1,t_14,-82.16784800000045,41.29002550000267,POINT (-82.16784800000045 41.29002550000267),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhr2uhpj,0.454,0.454,t_1,t_8,-82.1675967448261,41.2881455554418,POINT (-82.1675967448261 41.2881455554418),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdcgrdghdv,0.236,0.236,t_1,t_15,-82.1782885292781,41.28299841550793,POINT (-82.17828852927811 41.28299841550793),9813520489153298432,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520489153298432
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhpxhc7p,0.112,0.112,t_1,t_3,-82.16722678058339,41.287830737307104,POINT (-82.16722678058339 41.2878307373071),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39093077100,39093,building,urn:ufokn:id:feature:dpmdfhpttvwn,0.009,0.009,t_1,t_14,-82.16717982268389,41.287595815831345,POINT (-82.16717982268389 41.28759581583135),9813520626592251904,0.51,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9813520626592251904
39,39107968000,39107,building,urn:ufokn:id:feature:dp5tzy22541s,0.307,0.014,t_1,t_2,-84.73707469280862,40.42008599422712,POINT (-84.73707469280862 40.42008599422712),9817792641583022080,0.05,https://stko-kwg.geog.ucsb.edu/browse/#kwgr:s2.level13.9817792641583022080
