value,name
yes,building
detached,building
house,building
apartments,building
place_of_worship,amenity
seafood,shop
fast_food,amenity
veterinary,amenity
residential,building
swimming_pool,leisure
hotel,tourism
clinic,amenity
commercial,building
pitch,leisure
storage_rental,shop
school,amenity
roof,building
hearing_aids,shop
shed,building
boat,shop
service,building
fuel,amenity
bank,amenity
retail,building
garage,building
cinema,amenity
office,military
sports_centre,leisure
restaurant,amenity
pharmacy,amenity
company,office
estate_agent,office
supermarket,shop
playground,leisure
church,building
storage_tank,man_made
bar,amenity
school,building
library,amenity
ice_cream,amenity
convenience,shop
townhall,amenity
car_wash,amenity
public,building
police,amenity
post_office,amenity
courthouse,amenity
cafeteria,building
sports,shop
toilets,amenity
dentist,amenity
shelter,amenity
doityourself,shop
car_repair,shop
garden,leisure
conference_centre,amenity
cafe,amenity
college,building
tobacco,shop
hospital,amenity
mall,shop
marketplace,amenity
terrace,building
semidetached_house,building
university,amenity
club,leisure
outdoor,shop
social_club,leisure
guest_house,tourism
doctors,amenity
museum,tourism
fire_station,amenity
car_parts,shop
golf,sport
social_facility,amenity
optician,shop
coast_guard,amenity
stadium,leisure
water_park,leisure
industrial,building
stationery,shop
government,office
alcohol,shop
dry_cleaning,shop
chemist,shop
books,shop
pub,amenity
yes,shop
candles,shop
laundry,shop
motel,tourism
yes,office
furniture,shop
animal_shelter,amenity
tyres,shop
wholesale,shop
marina,leisure
picnic_site,tourism
department_store,shop
picnic_table,leisure
university,building
track,leisure
stadium,building
common,leisure
gym,amenity
concession,amenity
bleachers,leisure
weapons,shop
hospital,building
zoo,tourism
bowling_alley,leisure
houseware,shop
insurance,office
golf_course,leisure
attraction,tourism
dog_park,leisure
grandstand,building
horse_riding,leisure
bicycle_parking,amenity
craft,shop
pier,man_made
storage_dome,man_made
variety_store,shop
tower,man_made
clothes,shop
interior_decoration,shop
cosmetics,shop
information,tourism
music,shop
gymnasium,building
community_centre,amenity
hangar,building
water_tower,man_made
